qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.004850149154663086,0.005543947219848633,0.005635976791381836,0.00528717041015625,0.00586390495300293,0.005518913269042969,0.0027458667755126953
0.004683732986450195,0.0053861141204833984,0.005288839340209961,0.005559682846069336,0.005270957946777344,0.0056340694427490234,0.0027418136596679688
0.004233837127685547,0.005151987075805664,0.005589962005615234,0.005546092987060547,0.0052280426025390625,0.005572080612182617,0.002650022506713867
0.0038840770721435547,0.005392313003540039,0.005548954010009766,0.005259037017822266,0.005311012268066406,0.007185220718383789,0.002725839614868164
0.003690004348754883,0.005600690841674805,0.0055849552154541016,0.005402088165283203,0.005290985107421875,0.005640983581542969,0.0026590824127197266
0.003915071487426758,0.005853176116943359,0.005391120910644531,0.005509853363037109,0.00531315803527832,0.005715847015380859,0.002655029296875
0.003721952438354492,0.005411863327026367,0.0054149627685546875,0.005566120147705078,0.00524592399597168,0.0054438114166259766,0.0026650428771972656
0.0035262107849121094,0.00538325309753418,0.0056247711181640625,0.0052340030670166016,0.005323886871337891,0.005694150924682617,0.002670764923095703
0.0037810802459716797,0.0052318572998046875,0.005233287811279297,0.005180835723876953,0.005468130111694336,0.005705118179321289,0.002717256546020508
0.003690958023071289,0.0053310394287109375,0.005544900894165039,0.006103038787841797,0.005567073822021484,0.005558013916015625,0.002672910690307617
0.003925800323486328,0.005567073822021484,0.005605936050415039,0.005483150482177734,0.005557060241699219,0.005418062210083008,0.0026702880859375
0.003612041473388672,0.005513906478881836,0.00551605224609375,0.005403041839599609,0.005548000335693359,0.005413055419921875,0.002672910690307617
0.003998994827270508,0.0051839351654052734,0.005424976348876953,0.005450010299682617,0.005285024642944336,0.0056040287017822266,0.0026760101318359375
0.003659963607788086,0.005300998687744141,0.005702018737792969,0.005639791488647461,0.0055348873138427734,0.005489826202392578,0.0026769638061523438
0.0037000179290771484,0.005388021469116211,0.005431175231933594,0.005587100982666016,0.005587100982666016,0.005395174026489258,0.002655029296875
0.003922939300537109,0.0056340694427490234,0.005335092544555664,0.0051991939544677734,0.005309104919433594,0.005527019500732422,0.002666950225830078
0.0040929317474365234,0.0050160884857177734,0.005583763122558594,0.004897117614746094,0.005691051483154297,0.0055048465728759766,0.0026559829711914062
0.003748178482055664,0.00506281852722168,0.0053522586822509766,0.0057528018951416016,0.00556182861328125,0.005435943603515625,0.0026700496673583984
0.0038237571716308594,0.005297183990478516,0.005116939544677734,0.006419181823730469,0.005444765090942383,0.0054700374603271484,0.0026772022247314453
0.004480123519897461,0.0057468414306640625,0.005543947219848633,0.005959987640380859,0.005269050598144531,0.005429983139038086,0.0029268264770507812
0.003682851791381836,0.005186796188354492,0.005158901214599609,0.005318164825439453,0.005417823791503906,0.005596160888671875,0.0030069351196289062
0.00372314453125,0.005472898483276367,0.00527501106262207,0.005524158477783203,0.005578041076660156,0.0054171085357666016,0.0026700496673583984
0.0036869049072265625,0.005453824996948242,0.005482912063598633,0.005259990692138672,0.0055789947509765625,0.00542902946472168,0.002652883529663086
